City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
234,khanty-mansiysk,61.0042,69.0019,269.21,93,75,3.13,RU,1699239421
235,mermoz boabab,14.7065,-17.4758,298.46,66,93,5.38,SN,1699239421
236,port douglas,-16.4833,145.4667,300.01,66,88,5.27,AU,1699239421
237,mar del plata,-38.0023,-57.5575,289.79,71,0,4.92,AR,1699239421
238,krapivinskiy,54.9992,86.8133,266.45,94,100,3.24,RU,1699239421
239,copiapo,-27.3667,-70.3333,284.98,57,0,0.48,CL,1699239422
240,nova sintra,14.8667,-24.7167,297.11,72,28,4.27,CV,1699239422
241,ilulissat,69.2167,-51.1,261.08,70,24,3.6,GL,1699239422
242,wajir,1.7471,40.0573,297.93,84,68,4.49,KE,1699239422
243,harper,4.375,-7.7169,298.47,89,16,1.92,LR,1699239422
244,barreirinhas,-2.7469,-42.8264,299.38,84,53,4.2,BR,1699239422
245,marshfield,44.6689,-90.1718,283.95,66,0,6.69,US,1699239422
246,lagos,6.5833,3.75,299.33,91,100,0.5,NG,1699239162
247,colchani,-20.3,-66.9333,285.83,42,58,4.72,BO,1699239422
248,sao mateus,-18.7161,-39.8589,295.86,73,99,4.48,BR,1699239423
249,songea,-10.6833,35.65,291.04,91,70,1.79,TZ,1699239423
250,west island,-12.1568,96.8225,301.14,74,100,8.23,CC,1699239423
251,shawano,44.7822,-88.609,284.45,100,100,0.0,US,1699239423
252,taoudenni,22.6783,-3.9836,300.12,15,0,3.3,ML,1699239423
253,duyun,26.2667,107.5167,289.67,73,98,1.94,CN,1699239423
254,todos santos,23.45,-110.2167,298.4,75,100,2.9,MX,1699239423
255,kingston,17.997,-76.7936,301.68,84,40,4.12,JM,1699239266
256,likiep,9.8251,169.3107,301.32,75,95,8.85,MH,1699239423
257,arauco,-37.2463,-73.3175,283.75,85,99,0.95,CL,1699239423
258,magdagachi,53.45,125.8,264.24,35,0,1.84,RU,1699239423
259,logten,56.2746,10.3118,282.17,99,100,1.03,DK,1699239424
260,yuzhno-kurilsk,44.0306,145.8556,281.69,81,100,2.5,RU,1699239424
261,kedougou,12.5579,-12.1743,298.49,56,7,0.88,SN,1699239424
262,kill devil hills,36.0307,-75.676,290.36,79,0,4.12,US,1699239424
263,yagoua,10.3411,15.2329,298.26,50,30,1.99,CM,1699239424
264,siwa oasis,29.2041,25.5195,295.59,29,0,1.34,EG,1699239424
265,oyem,1.5995,11.5793,293.04,99,98,0.22,GA,1699239425
266,bulungu,-4.55,18.6,294.42,96,100,0.63,CD,1699239425
267,minna,9.6139,6.5569,298.57,71,67,1.47,NG,1699239425
268,salalah,17.0151,54.0924,299.0,76,12,0.72,OM,1699239425
269,bandarbeyla,9.4942,50.8122,299.4,82,100,5.39,SO,1699239425
270,katsuren-haebaru,26.3369,127.8719,301.58,72,75,2.06,JP,1699239426
271,kapoeta,4.7717,33.5903,293.71,90,99,0.37,SS,1699239426
272,arraial do cabo,-22.9661,-42.0278,294.32,66,1,7.64,BR,1699239426
273,as sulayyil,20.4607,45.5779,294.29,54,92,3.29,SA,1699239426
274,boyolangu,-8.1181,111.8935,304.54,56,99,3.94,ID,1699239426
275,columbus,39.9612,-82.9988,281.48,77,40,0.0,US,1699239426
276,vilanova del cami,41.5717,1.6375,286.72,67,12,1.79,ES,1699239426
277,trairi,-3.2778,-39.2689,299.44,76,51,5.25,BR,1699239318
278,tabalah,19.95,42.4,292.73,41,37,2.25,SA,1699239426
279,biloela,-24.4167,150.5,299.69,48,100,4.05,AU,1699239426
280,lodja,-3.4833,23.4333,293.68,99,100,0.97,CD,1699239426
281,itaberaba,-12.5275,-40.3069,297.77,85,92,3.19,BR,1699239426
282,carnarvon,-24.8667,113.6333,298.31,61,96,5.54,AU,1699239427
283,barkhan,29.8977,69.5256,293.17,34,95,0.86,PK,1699239427
284,kuraymah,18.55,31.85,300.35,28,41,2.92,SD,1699239427
285,hastings,50.8552,0.5729,284.01,41,46,10.98,GB,1699239427
286,tolanaro,-25.0319,46.9987,296.19,83,40,11.83,MG,1699239427
287,spring creek,40.7266,-115.5859,285.54,52,100,1.89,US,1699239427
288,new norfolk,-42.7826,147.0587,292.55,36,38,1.61,AU,1699239427
289,kone,-21.0595,164.8658,300.06,51,32,4.24,NC,1699239427
290,le port,-20.9373,55.2919,297.53,91,76,1.81,RE,1699239427
291,broken hill,-31.95,141.4333,303.21,14,27,2.04,AU,1699239306
292,freetown,8.484,-13.2299,299.4,84,94,2.09,SL,1699239427
293,mili,6.0815,171.735,301.41,80,100,8.51,MH,1699239427
294,valencia,39.3333,-0.8333,285.6,70,100,2.94,ES,1699239428
295,saynshand,44.8824,110.1163,264.19,70,7,1.87,MN,1699239428
